Group,Call,Supported,Difficulty,Notes
async,MPI_Send_init,NO,medium,request handling
ptp,MPI_Send,YES,,
ptp,MPI_Sendrecv,NO,easy,
ptp,MPI_Sendrecv_replace,NO,easy,save old value in case of something bad happens
async,MPI_Ssend_init,NO,medium,request handling
ptp,MPI_Ssend,NO,easy,
async,MPI_Start,NO,medium,request handling
async,MPI_Startall,NO,medium,request handling
general,MPI_Status_c2f,-,,
general,MPI_Status_f2c,-,,
general,MPI_Status_set_cancelled,-,,
general,MPI_Status_set_elements,-,,
general,MPI_Status_set_elements_x,?,,
async,MPI_Testall,NO,medium,request handling
async,MPI_Testany,NO,medium,request handling
async,MPI_Test,NO,medium,request handling
async,MPI_Test_cancelled,NO,medium,request handling
async,MPI_Testsome,NO,medium,request handling
topo,MPI_Topo_test,NO,?,
type,MPI_Type_c2f,-,,
type,MPI_Type_commit,-,,
type,MPI_Type_contiguous,-,,
type,MPI_Type_create_darray,-,,
type,MPI_Type_create_f90_complex,-,,
type,MPI_Type_create_f90_integer,-,,
type,MPI_Type_create_f90_real,-,,
type,MPI_Type_create_hindexed_block,-,,
type,MPI_Type_create_hindexed,-,,
type,MPI_Type_create_hvector,-,,
type,MPI_Type_create_keyval,-,,
type,MPI_Type_create_indexed_block,-,,
type,MPI_Type_create_struct,-,,
type,MPI_Type_create_subarray,-,,
type,MPI_Type_create_resized,-,,
type,MPI_Type_delete_attr,-,,
type,MPI_Type_dup,-,,
type,MPI_Type_free,-,,
type,MPI_Type_free_keyval,-,,
type,MPI_Type_f2c,-,,
type,MPI_Type_get_attr,-,,
type,MPI_Type_get_contents,-,,
type,MPI_Type_get_envelope,-,,
type,MPI_Type_get_extent,-,,
type,MPI_Type_get_extent_x,?,,
type,MPI_Type_get_name,-,,
type,MPI_Type_get_true_extent,-,,
type,MPI_Type_get_true_extent_x,?,,
type,MPI_Type_indexed,-,,
type,MPI_Type_match_size,-,,
type,MPI_Type_set_attr,-,,
type,MPI_Type_set_name,-,,
type,MPI_Type_size,-,,
type,MPI_Type_size_x,?,,
type,MPI_Type_vector,-,,
pack,MPI_Unpack,NO,?,
intercom,MPI_Unpublish_name,NO,?,
pack,MPI_Unpack_external,NO,?,
async,MPI_Waitall,NO,medium,request handling
async,MPI_Waitany,NO,medium,request handling
async,MPI_Wait,NO,medium,request handling
async,MPI_Waitsome,NO,medium,request handling
osc,MPI_Win_allocate,YES,,
osc,MPI_Win_allocate_shared,NO,easy,
osc,MPI_Win_attach,NO,medium,variable size window
general,MPI_Win_c2f,-,,
errors,MPI_Win_call_errhandler,NO,?,errorhandler usage shall be wrapped
osc,MPI_Win_complete,NO,medium,Fence is simpler
osc,MPI_Win_create,YES,,
osc,MPI_Win_create_dynamic,NO,medium,variable size window
errors,MPI_Win_create_errhandler,NO,?,errorhandler usage shall be wrapped
attr,MPI_Win_create_keyval,-,,
attr,MPI_Win_delete_attr,-,,
osc,MPI_Win_detach,NO,medium,variable size window
general,MPI_Win_f2c,-,,
osc,MPI_Win_fence,YES,,
osc,MPI_Win_flush,NO,easy,
osc,MPI_Win_flush_all,NO,easy,
osc,MPI_Win_flush_local,NO,easy,
osc,MPI_Win_flush_local_all,NO,easy,
osc,MPI_Win_free,YES,,
attr,MPI_Win_free_keyval,-,,
attr,MPI_Win_get_attr,-,,
errors,MPI_Win_get_errhandler,NO,?,errorhandler usage shall be wrapped
general,MPI_Win_get_group,NO,easy,
info,MPI_Win_get_info,-,,
info,MPI_Win_get_name,-,,
osc,MPI_Win_lock,NO,medium,Fence is simpler
osc,MPI_Win_lock_all,NO,medium,Fence is simpler
osc,MPI_Win_post,NO,medium,Fence is simpler
attr,MPI_Win_set_attr,-,,
errors,MPI_Win_set_errhandler,NO,?,errorhandler usage shall be wrapped
info,MPI_Win_set_info,-,,
info,MPI_Win_set_name,-,,
info,MPI_Win_shared_query,-,,
osc,MPI_Win_start,NO,medium,Fence is simpler
osc,MPI_Win_sync,NO,easy,
osc,MPI_Win_test,NO,medium,Fence is simpler
osc,MPI_Win_unlock,NO,medium,Fence is simpler
osc,MPI_Win_unlock_all,NO,medium,Fence is simpler
osc,MPI_Win_wait,NO,medium,Fence is simpler
general,MPI_Wtick,-,,
general,MPI_Wtime,-,,
